district,state,latitude,longitude,date,rainfall_24h_mm,rainfall_72h_mm,antecedent_rainfall_mm,soil_moisture_percent,slope_degrees,elevation_m,ndvi,lithology_code,landslide_occurred,data_source,rainfall_data_type
Itanagar,Arunachal Pradesh,28.5084,92.4863,2008-10-12,5.0,31.4,94.6,60.0,34.7,307.2,0.45,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.6825,96.0433,2008-10-18,67.7,129.7,228.2,61.4,19.2,998.5,0.33,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,23.2866,93.7629,2008-10-19,68.6,127.2,226.6,67.3,29.5,972.6,0.72,2,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.3333,91.25,2008-10-29,99.5,225.2,370.0,79.5,8.0,117.1,0.55,1,1,real_event,calibrated_climatological
Lakhimpur,Assam,27.2333,94.1167,2008-10-29,41.9,89.3,183.7,90.5,14.4,226.3,0.48,1,1,real_event,calibrated_climatological
Nagaon,Assam,27.4,92.35,2008-10-29,64.0,131.5,216.2,82.0,10.3,104.2,0.47,1,1,real_event,calibrated_climatological
Saiha,Mizoram,22.2458,92.5646,2008-11-03,20.0,41.8,84.5,71.1,46.4,1004.9,0.45,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.3742,89.5229,2008-12-28,7.7,35.6,80.4,73.9,28.1,459.6,0.49,3,0,real_negative_sample,calibrated_climatological
Diphu,Assam,25.8389,93.3774,2009-01-19,24.4,62.6,104.4,47.7,14.8,380.5,0.63,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.2299,91.2748,2009-04-28,23.8,57.0,101.1,60.1,10.3,20.0,0.5,1,0,real_negative_sample,calibrated_climatological
Nagaon,Assam,26.6188,92.2779,2009-05-07,33.2,87.1,153.8,82.6,15.1,20.0,0.53,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.4162,91.211,2009-05-08,39.2,72.6,113.3,72.3,5.0,30.5,0.46,1,0,real_negative_sample,calibrated_climatological
Cherrapunji,Meghalaya,24.6182,91.3173,2009-05-15,19.6,48.4,96.5,59.4,31.1,1347.3,0.43,3,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,24.3083,91.7333,2009-05-18,57.2,134.3,281.1,78.0,8.0,20.0,0.46,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0436,88.2652,2009-05-26,24.2,61.7,108.0,90.3,8.0,23.1,0.49,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0095,88.2592,2009-05-26,57.1,137.3,273.1,92.6,15.9,137.8,0.63,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8836,88.2791,2009-05-26,37.1,103.5,185.9,76.9,49.2,539.0,0.51,3,1,real_event,calibrated_climatological
Champhai,Mizoram,22.831,93.9256,2009-06-09,40.0,113.6,153.5,70.9,28.7,885.5,0.49,2,0,real_negative_sample,calibrated_climatological
Aizawl,Mizoram,23.5665,92.95,2009-06-13,56.6,121.7,232.7,64.1,42.7,1213.3,0.46,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.89,88.47,2009-06-17,84.0,152.7,272.3,64.9,8.0,20.0,0.37,1,1,real_event,calibrated_climatological
Saiha,Mizoram,22.3862,93.6173,2009-06-18,71.9,180.1,308.3,81.1,34.5,878.4,0.75,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.9052,88.31,2009-06-19,59.9,112.7,208.2,75.4,15.3,20.0,0.56,1,0,real_negative_sample,calibrated_climatological
Longding,Arunachal Pradesh,27.2934,96.0909,2009-06-23,73.8,156.5,264.0,60.6,45.1,918.0,0.39,2,0,real_negative_sample,calibrated_climatological
Saiha,Mizoram,22.7472,93.3226,2009-06-25,110.1,246.2,367.0,57.4,32.8,950.4,0.66,2,0,real_negative_sample,calibrated_climatological
Tezu,Arunachal Pradesh,27.3804,96.276,2009-06-28,74.9,173.6,253.8,70.0,15.7,315.2,0.62,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.478,88.527,2009-07-01,117.3,233.5,467.8,60.9,10.0,29.5,0.53,1,1,real_event,calibrated_climatological
Champhai,Mizoram,22.4156,96.5794,2009-07-01,8.0,29.9,68.2,71.5,35.5,1153.5,0.66,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.8859,95.7185,2009-07-02,42.8,82.4,168.8,76.8,26.5,1089.3,0.58,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8732,88.2918,2009-07-03,91.0,175.4,267.3,78.1,45.4,283.7,0.43,3,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.0819,95.3994,2009-07-03,36.2,88.1,150.9,71.9,30.8,1656.8,0.51,2,0,real_negative_sample,calibrated_climatological
Longding,Arunachal Pradesh,26.026,97.3715,2009-07-04,48.8,106.0,171.5,86.3,34.1,926.2,0.41,2,1,real_event,calibrated_climatological
Guwahati,Assam,27.7404,91.7989,2009-07-04,47.1,90.4,144.8,82.9,13.9,190.9,0.58,1,0,real_negative_sample,calibrated_climatological
Dibrugarh,Assam,27.4886,94.7813,2009-07-07,77.4,128.9,199.1,58.6,12.6,101.5,0.57,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.2311,90.7782,2009-07-11,86.0,161.5,240.6,77.8,5.8,76.5,0.54,1,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,28.7441,96.3336,2009-07-12,25.0,71.5,137.6,65.1,34.9,1969.7,0.54,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.4864,96.6258,2009-07-17,26.6,57.8,130.5,80.8,32.2,1180.3,0.53,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.2841,95.5566,2009-07-19,54.6,100.9,158.4,60.4,36.9,1252.8,0.53,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8572,88.3143,2009-07-22,143.9,248.3,456.0,76.2,40.0,316.6,0.62,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.04,88.264,2009-07-22,91.6,213.5,366.4,75.7,10.1,20.0,0.38,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8826,88.2788,2009-07-22,90.3,224.6,434.8,80.3,38.7,284.2,0.48,3,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.5171,93.5788,2009-07-23,111.8,187.8,339.2,63.7,49.9,1635.5,0.59,2,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,27.5462,96.8911,2009-07-28,8.0,23.5,50.9,60.2,37.4,2070.6,0.37,2,0,real_negative_sample,calibrated_climatological
Saiha,Mizoram,22.2251,92.19,2009-07-31,71.9,163.6,303.9,87.5,19.2,835.9,0.61,2,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.5229,94.3518,2009-08-03,76.1,171.6,311.6,56.7,42.9,1766.5,0.36,2,0,real_negative_sample,calibrated_climatological
Tamenglong,Manipur,24.877,93.5866,2009-08-06,79.4,148.7,228.4,56.4,36.6,1399.9,0.55,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,23.4463,93.4935,2009-08-09,99.9,195.7,281.6,55.6,38.7,1006.2,0.48,2,0,real_negative_sample,calibrated_climatological
Phek,Nagaland,25.7633,94.5842,2009-08-09,55.5,132.0,208.8,67.2,20.0,1619.8,0.59,3,0,real_negative_sample,calibrated_climatological
Jorhat,Assam,26.8471,94.7974,2009-08-12,77.8,162.3,237.5,67.5,5.0,103.7,0.59,1,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,27.7,92.8,2009-08-12,70.1,144.5,301.3,69.8,35.3,380.1,0.64,2,1,real_event,calibrated_climatological
Longding,Arunachal Pradesh,26.8831,96.4372,2009-08-13,34.6,81.2,126.7,56.4,51.1,955.7,0.37,2,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.604,91.8533,2009-08-14,76.8,155.2,275.8,64.2,37.8,983.3,0.45,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8821,88.3195,2009-08-16,15.2,41.1,102.3,78.5,36.7,255.4,0.41,3,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.9599,88.268,2009-08-16,94.1,204.1,401.1,81.7,35.0,372.1,0.42,3,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.7445,88.4001,2009-08-16,62.2,163.5,309.9,58.0,43.0,294.5,0.42,3,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8868,88.2804,2009-08-16,33.6,96.7,182.3,77.9,39.3,362.4,0.41,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.1598,88.6341,2009-08-16,108.6,209.9,376.9,77.7,19.7,40.8,0.66,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0246,88.4385,2009-08-16,66.7,129.5,258.0,70.9,8.0,61.3,0.45,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.7914,88.363,2009-08-16,54.9,114.4,240.5,69.2,42.7,396.6,0.46,3,1,real_event,calibrated_climatological
Goalpara,Assam,28.2109,88.4524,2009-08-18,75.7,142.1,207.6,72.4,12.3,81.3,0.5,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.044,89.5744,2009-08-18,70.0,154.8,291.0,71.5,8.0,98.4,0.45,1,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.2239,93.2468,2009-08-18,36.2,79.1,142.6,69.6,41.7,1668.8,0.52,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.8928,89.4497,2009-08-18,112.4,283.2,479.2,82.3,17.5,119.0,0.54,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8042,88.125,2009-08-19,97.6,207.7,419.4,70.6,41.0,289.9,0.52,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.2644,88.1365,2009-08-19,157.8,331.7,656.3,72.6,8.9,20.0,0.57,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0736,88.4779,2009-08-20,92.7,198.5,390.9,77.6,8.0,102.1,0.59,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8992,88.1667,2009-08-20,38.5,89.6,148.6,71.7,43.0,325.1,0.67,3,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8841,88.2809,2009-08-20,125.0,277.7,530.8,64.7,42.7,268.4,0.49,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.1761,88.5287,2009-08-20,126.8,277.7,513.7,67.1,8.0,20.0,0.47,1,1,real_event,calibrated_climatological
Diphu,Assam,25.5215,93.1645,2009-08-20,86.4,199.6,398.2,82.2,17.5,415.2,0.42,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.1344,88.4575,2009-08-20,97.0,191.0,341.6,57.7,14.2,48.3,0.43,1,1,real_event,calibrated_climatological
Tamenglong,Manipur,24.9925,93.5,2009-08-20,156.0,308.0,569.5,72.2,42.7,1336.9,0.62,2,1,real_event,calibrated_climatological
Agartala,Tripura,22.6365,89.9365,2009-08-24,81.6,146.3,263.3,54.0,13.5,20.0,0.4,1,0,real_negative_sample,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.2441,93.3367,2009-08-25,35.3,88.7,162.9,71.7,43.7,1551.7,0.5,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.3746,88.7648,2009-08-26,72.7,156.3,289.2,87.1,12.3,107.3,0.45,1,1,real_event,calibrated_climatological
Champhai,Mizoram,22.7492,95.7325,2009-08-26,46.5,120.8,213.8,72.1,25.6,1101.8,0.66,2,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,28.9831,96.7094,2009-08-27,75.3,163.1,249.5,62.6,33.1,2020.3,0.48,2,0,real_negative_sample,calibrated_climatological
Jiribam,Manipur,25.1718,93.123,2009-08-27,87.2,190.3,341.4,69.3,31.8,791.6,0.55,2,1,real_event,calibrated_climatological
Longding,Arunachal Pradesh,27.4019,95.4938,2009-08-28,108.7,257.4,418.6,64.6,34.1,926.3,0.41,2,0,real_negative_sample,calibrated_climatological
Ukhrul,Manipur,24.8628,94.4182,2009-08-30,62.0,165.3,302.0,81.7,41.5,1839.9,0.49,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.6424,91.1341,2009-09-09,49.0,96.5,183.8,60.7,10.0,44.4,0.61,1,0,real_negative_sample,calibrated_climatological
Longding,Arunachal Pradesh,26.6693,96.024,2009-09-14,54.7,107.3,201.5,62.5,34.7,931.1,0.41,2,0,real_negative_sample,calibrated_climatological
Phek,Nagaland,25.7088,96.133,2009-09-15,43.2,93.0,200.8,67.8,30.7,1564.4,0.55,3,0,real_negative_sample,calibrated_climatological
Nagaon,Assam,27.3952,91.9523,2009-09-17,69.1,133.4,247.7,68.5,5.0,150.0,0.63,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.1954,88.6115,2009-09-17,88.9,215.9,388.3,71.4,12.9,62.9,0.59,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8342,88.2798,2009-09-18,39.4,93.7,205.3,76.1,43.0,91.7,0.41,3,1,real_event,calibrated_climatological
Phek,Nagaland,25.7697,95.0841,2009-09-20,52.2,123.6,232.8,78.9,26.4,1725.1,0.52,3,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.3152,90.8621,2009-09-27,40.7,88.9,164.1,89.3,9.7,20.0,0.5,1,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.2283,88.4287,2009-10-04,65.2,138.5,219.8,73.7,39.3,385.6,0.57,3,0,real_negative_sample,calibrated_climatological
Karimganj,Assam,24.9072,92.4697,2009-10-04,25.4,53.4,96.0,69.1,9.5,64.3,0.51,1,0,real_negative_sample,calibrated_climatological
Aizawl,Mizoram,23.7348,92.7212,2009-10-05,92.5,196.9,377.0,69.8,31.0,1058.5,0.63,2,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.0829,95.0984,2009-10-05,36.2,104.1,172.1,60.2,38.5,1761.4,0.41,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.0524,90.4997,2009-10-06,63.3,155.5,304.4,63.2,15.1,193.6,0.46,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.3144,89.545,2009-10-15,41.1,100.8,208.8,72.9,8.0,27.8,0.6,1,1,real_event,calibrated_climatological
Ukhrul,Manipur,25.2631,94.4104,2009-10-17,60.5,128.0,226.9,61.0,40.1,1687.0,0.68,3,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.342,88.567,2009-10-22,41.7,92.4,164.3,49.8,48.9,316.5,0.59,3,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.139,95.3415,2009-10-26,23.3,61.3,123.2,59.3,36.6,1369.5,0.52,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.6978,89.0308,2009-12-02,46.9,105.5,204.7,86.3,41.8,298.7,0.51,3,0,real_negative_sample,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.6708,94.5729,2010-01-27,17.3,42.2,103.3,66.4,44.9,1596.1,0.62,2,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.652,92.0756,2010-03-04,44.5,115.7,219.4,65.3,33.3,944.9,0.64,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,22.8412,96.6885,2010-03-04,12.9,43.1,105.0,55.0,38.8,1115.0,0.51,2,0,real_negative_sample,calibrated_climatological
Imphal,Manipur,24.7339,93.9161,2010-03-27,23.1,76.0,141.3,78.2,12.9,865.3,0.36,1,1,real_event,calibrated_climatological
Jiribam,Manipur,25.1553,93.028,2010-04-01,5.0,23.7,68.8,63.3,32.8,567.6,0.46,2,1,real_event,calibrated_climatological
Itanagar,Arunachal Pradesh,27.8997,93.3497,2010-04-02,31.3,88.4,194.3,74.6,32.2,346.4,0.5,2,1,real_event,calibrated_climatological
Kamjong,Manipur,24.7087,94.6649,2010-04-12,24.3,60.5,138.1,68.5,37.8,1260.3,0.62,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.322,88.6087,2010-04-17,46.6,119.4,252.1,77.0,13.9,38.7,0.5,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.3341,88.6083,2010-04-17,7.2,43.0,119.5,85.2,13.8,20.0,0.46,1,1,real_event,calibrated_climatological
Guwahati,Assam,26.1965,91.763,2010-04-20,38.6,89.7,166.0,62.4,8.0,20.0,0.63,1,1,real_event,calibrated_climatological
Guwahati,Assam,26.1978,91.7665,2010-04-20,39.5,90.3,179.7,82.3,12.7,48.7,0.51,1,1,real_event,calibrated_climatological
Tezu,Arunachal Pradesh,27.8965,96.1779,2010-04-21,45.9,91.1,194.8,73.7,17.5,217.4,0.4,1,1,real_event,calibrated_climatological
East Jaintia Hills,Meghalaya,25.3612,92.2845,2010-04-21,30.2,81.6,151.7,77.5,42.6,657.4,0.37,3,1,real_event,calibrated_climatological
Kamjong,Manipur,24.7446,97.1582,2010-05-07,30.3,65.9,118.5,71.6,42.5,1186.6,0.39,2,0,real_negative_sample,calibrated_climatological
East Jaintia Hills,Meghalaya,25.3433,92.2897,2010-05-11,65.7,145.3,272.1,83.7,48.6,780.1,0.61,3,1,real_event,calibrated_climatological
Tura,Meghalaya,24.4228,89.8906,2010-05-15,19.8,60.2,111.9,74.8,25.9,359.6,0.57,3,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.416,88.3729,2010-05-16,24.5,68.2,155.3,53.1,7.7,52.8,0.46,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.2196,89.5188,2010-05-20,100.6,270.0,496.2,72.9,14.6,92.2,0.59,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.219,89.5188,2010-05-21,59.4,146.9,241.6,78.3,11.8,64.4,0.39,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.3543,88.6428,2010-05-31,43.8,120.7,217.4,62.1,18.6,149.8,0.38,1,1,real_event,calibrated_climatological
Tezu,Arunachal Pradesh,28.4298,95.8776,2010-05-31,101.4,244.6,417.4,59.7,14.9,175.4,0.53,1,1,real_event,calibrated_climatological
Diphu,Assam,25.7186,92.8553,2010-06-02,58.9,106.2,179.6,66.3,16.4,397.2,0.51,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.8986,91.7599,2010-06-03,98.1,195.4,381.5,82.8,17.8,20.0,0.58,1,1,real_event,calibrated_climatological
Hailakandi,Assam,24.6005,92.3814,2010-06-03,41.5,92.3,195.5,85.5,22.2,20.0,0.3,1,1,real_event,calibrated_climatological
Nagaon,Assam,26.1215,92.4261,2010-06-04,46.6,109.0,166.1,61.8,6.4,38.8,0.57,1,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.9353,92.8118,2010-06-06,104.4,237.6,339.4,68.0,45.1,1021.9,0.66,2,0,real_negative_sample,calibrated_climatological
Tamenglong,Manipur,24.7543,93.5039,2010-06-07,63.2,169.5,250.2,72.9,42.1,1285.7,0.51,2,1,real_event,calibrated_climatological
Nongstoin,Meghalaya,25.8833,91.2,2010-06-09,100.5,258.4,495.4,76.7,37.3,1336.5,0.61,3,1,real_event,calibrated_climatological
Kamjong,Manipur,24.7554,96.9778,2010-06-10,121.2,258.3,416.3,84.1,23.8,1276.4,0.55,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.8785,88.3403,2010-06-10,47.4,95.4,174.7,70.9,13.1,56.8,0.55,1,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,27.2251,92.9257,2010-06-10,66.7,120.0,196.2,68.6,35.4,282.1,0.59,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.944,88.4441,2010-06-11,45.8,111.5,190.3,50.0,12.3,29.5,0.6,1,1,real_event,calibrated_climatological
Saiha,Mizoram,22.0,92.3333,2010-06-15,102.6,214.1,398.7,77.8,38.0,926.4,0.56,2,1,real_event,calibrated_climatological
Tamenglong,Manipur,25.2269,93.1658,2010-06-15,85.0,206.8,393.1,69.7,43.7,1170.4,0.71,2,1,real_event,calibrated_climatological
Mokokchung,Nagaland,26.3335,94.5512,2010-06-15,116.8,268.6,469.9,69.9,34.2,1314.6,0.38,3,1,real_event,calibrated_climatological
Champhai,Mizoram,23.4634,94.6297,2010-06-15,79.3,186.5,291.8,53.4,25.4,926.2,0.54,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8073,88.3162,2010-06-16,123.3,326.1,583.6,63.9,50.1,409.0,0.65,3,1,real_event,calibrated_climatological
Silchar,Assam,25.0633,92.8025,2010-06-16,159.4,359.5,671.9,65.2,15.8,156.8,0.35,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0765,88.4808,2010-06-16,166.7,309.5,603.9,82.1,10.2,81.1,0.58,1,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.8946,94.6721,2010-06-16,75.1,159.1,310.2,79.0,45.0,1673.4,0.38,2,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.4333,94.8833,2010-06-17,99.3,198.2,349.7,90.0,30.6,1394.9,0.41,3,1,real_event,calibrated_climatological
Itanagar,Arunachal Pradesh,28.8957,92.6435,2010-06-18,63.8,150.9,235.3,67.9,37.7,394.6,0.52,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.8278,89.4653,2010-06-19,22.2,62.5,116.8,62.7,6.5,20.0,0.69,1,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,28.2968,91.9986,2010-06-21,36.2,101.5,183.3,77.8,45.3,303.7,0.33,2,0,real_negative_sample,calibrated_climatological
Nongstoin,Meghalaya,25.4916,91.2698,2010-06-28,91.9,212.0,426.9,95.0,22.9,1356.3,0.6,3,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.7392,95.0677,2010-06-28,57.0,144.4,291.1,68.8,32.7,1648.8,0.58,2,0,real_negative_sample,calibrated_climatological
Shillong,Meghalaya,25.5728,91.885,2010-06-28,110.2,268.6,497.8,81.9,17.4,1474.2,0.3,3,1,real_event,calibrated_climatological
Cherrapunji,Meghalaya,24.9938,91.5959,2010-07-01,34.9,103.9,173.1,55.4,43.3,1232.0,0.57,3,0,real_negative_sample,calibrated_climatological
Pasighat,Arunachal Pradesh,27.9406,95.306,2010-07-02,63.8,118.8,175.9,56.1,36.2,171.7,0.69,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.3045,89.293,2010-07-03,139.9,238.9,342.1,57.6,11.2,20.0,0.55,1,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8712,88.3052,2010-07-04,75.8,161.1,297.0,77.3,35.0,284.8,0.61,3,1,real_event,calibrated_climatological
Ri Bhoi,Meghalaya,25.5959,92.1771,2010-07-04,20.6,66.2,125.5,67.0,30.4,605.4,0.54,3,0,real_negative_sample,calibrated_climatological
Phek,Nagaland,25.8877,94.7861,2010-07-06,117.1,240.8,416.2,76.5,30.6,1445.6,0.43,3,1,real_event,calibrated_climatological
Mokokchung,Nagaland,26.7225,95.0281,2010-07-06,42.9,93.3,159.5,69.8,31.7,1284.6,0.43,3,1,real_event,calibrated_climatological
Kamjong,Manipur,23.3966,96.5717,2010-07-06,89.8,195.9,311.1,62.7,34.3,1336.3,0.56,2,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.2363,94.8133,2010-07-06,90.7,191.4,364.3,68.2,32.7,1297.1,0.56,3,1,real_event,calibrated_climatological
Mokokchung,Nagaland,26.0093,94.5238,2010-07-06,63.6,122.3,206.5,83.8,41.5,1329.9,0.34,3,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,25.2091,88.87,2010-07-06,72.1,148.3,232.1,72.5,23.2,284.2,0.33,3,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,27.6732,91.7903,2010-07-06,82.9,190.9,270.7,70.9,11.4,20.0,0.39,1,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,28.6122,92.903,2010-07-08,116.2,223.3,402.6,66.9,35.5,385.2,0.5,2,0,real_negative_sample,calibrated_climatological
Diphu,Assam,25.7202,92.8139,2010-07-09,105.2,237.3,373.2,66.8,26.1,371.7,0.45,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.1676,90.4244,2010-07-11,38.7,81.2,136.7,65.1,13.9,20.0,0.49,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.2178,89.5192,2010-07-13,85.7,190.1,325.8,77.3,12.9,148.2,0.47,1,1,real_event,calibrated_climatological
Kamjong,Manipur,23.4025,96.8156,2010-07-14,53.7,121.9,203.1,82.7,39.4,1203.2,0.56,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.2647,91.5995,2010-07-14,82.4,151.8,268.4,73.2,5.0,49.5,0.39,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,24.344,90.4004,2010-07-15,94.3,204.7,289.7,72.9,5.0,20.0,0.51,1,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.6167,96.3167,2010-07-15,144.1,372.9,624.5,59.9,37.4,1330.3,0.49,2,1,real_event,calibrated_climatological
Kamjong,Manipur,24.7006,95.8962,2010-07-17,57.3,106.9,188.4,65.2,30.4,1184.4,0.32,2,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.1876,91.6703,2010-07-17,102.2,233.4,428.3,53.8,5.0,74.8,0.47,1,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.7215,95.0283,2010-07-19,105.2,209.8,339.0,68.3,28.1,1368.2,0.43,3,1,real_event,calibrated_climatological
Dibrugarh,Assam,26.8716,94.9921,2010-07-20,69.5,152.6,290.9,65.2,8.0,51.4,0.43,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.3773,88.559,2010-07-21,52.9,121.6,201.9,61.7,8.0,20.0,0.34,1,1,real_event,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.0569,95.1005,2010-07-21,71.3,156.5,300.7,71.0,49.0,1656.8,0.5,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.5509,88.6475,2010-07-21,92.6,203.4,324.4,69.8,14.2,71.8,0.5,1,1,real_event,calibrated_climatological
Goalpara,Assam,26.8599,89.3943,2010-07-21,102.4,241.2,466.8,65.7,8.0,20.0,0.45,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0502,89.9442,2010-07-21,64.2,146.7,244.9,76.7,8.0,20.0,0.6,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.8122,89.9019,2010-07-22,37.8,113.8,213.3,62.2,8.0,64.4,0.34,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0674,89.5615,2010-07-22,154.9,304.7,580.5,83.7,8.0,35.6,0.58,1,1,real_event,calibrated_climatological
Goalpara,Assam,28.0702,89.3275,2010-07-25,40.0,97.8,151.5,54.8,15.7,20.0,0.48,1,0,real_negative_sample,calibrated_climatological
Silchar,Assam,25.0477,92.801,2010-07-25,180.6,352.8,664.1,78.6,9.2,20.0,0.51,1,1,real_event,calibrated_climatological
Kamjong,Manipur,25.3384,95.1221,2010-07-25,8.0,42.8,100.5,56.3,33.9,1267.8,0.57,2,0,real_negative_sample,calibrated_climatological
Senapati,Manipur,25.4196,94.1054,2010-07-29,108.8,223.1,455.4,83.5,30.5,1488.1,0.49,2,1,real_event,calibrated_climatological
Ukhrul,Manipur,25.3099,94.4821,2010-07-29,48.2,136.5,270.6,65.8,34.0,1882.6,0.58,3,1,real_event,calibrated_climatological
Tamenglong,Manipur,24.9786,93.5027,2010-07-29,71.4,141.1,235.7,64.1,43.0,1328.4,0.41,2,1,real_event,calibrated_climatological
Imphal,Manipur,24.9356,93.8443,2010-07-31,69.0,144.7,226.0,79.1,8.0,785.5,0.4,1,1,real_event,calibrated_climatological
